,icd_code,icd_version,description
8736,Z2809  ,10,Immunization not carried out because of other contraindication
8737,C19    ,10,Malignant neoplasm of rectosigmoid junction
8738,M314   ,10,Aortic arch syndrome [Takayasu]
8739,S12000A,10,"Unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture"
8740,7142   ,9,Other rheumatoid arthritis with visceral or systemic involvement
8741,69514  ,9,Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome
8742,69551  ,9,Exfoliation due to erythematous condition involving 10-19 percent of body surface
8743,M061   ,10,Adult-onset Still's disease
8744,72883  ,9,"Rupture of muscle, nontraumatic"
8745,45919  ,9,Postphlebetic syndrome with other complication
8746,D66    ,10,Hereditary factor VIII deficiency
8747,3521   ,9,Glossopharyngeal neuralgia
8748,6110   ,9,Inflammatory disease of breast
8749,Y92092 ,10,Bedroom in other non-institutional residence as the place of occurrence of the external cause
8750,Q2543  ,10,Congenital aneurysm of aorta
8751,2253   ,9,Benign neoplasm of spinal cord
8752,3492   ,9,"Disorders of meninges, not elsewhere classified"
8753,V618   ,9,Other specified family circumstances
8754,9060   ,9,"Late effect of open wound of head, neck, and trunk"
8755,V6281  ,9,"Interpersonal problems, not elsewhere classified"
8756,E1311  ,10,Other specified diabetes mellitus with ketoacidosis with coma
8757,J0430  ,10,"Supraglottitis, unspecified, without obstruction"
8758,R39198 ,10,Other difficulties with micturition
8759,53150  ,9,"Chronic or unspecified gastric ulcer with perforation, without mention of obstruction"
8760,K7201  ,10,Acute and subacute hepatic failure with coma
8761,K8071  ,10,Calculus of gallbladder and bile duct without cholecystitis with obstruction
8762,K634   ,10,Enteroptosis
8763,Q998   ,10,Other specified chromosome abnormalities
8764,Q780   ,10,Osteogenesis imperfecta
8765,75651  ,9,Osteogenesis imperfecta
8766,S02602A,10,"Fracture of unspecified part of body of left mandible, initial encounter for closed fracture"
8767,S52302A,10,"Unspecified fracture of shaft of left radius, initial encounter for closed fracture"
8768,S02611A,10,"Fracture of condylar process of right mandible, initial encounter for closed fracture"
8769,S064X0A,10,"Epidural hemorrhage without loss of consciousness, initial encounter"
8770,B0221  ,10,Postherpetic geniculate ganglionitis
8771,M7021  ,10,"Olecranon bursitis, right elbow"
8772,M71121 ,10,"Other infective bursitis, right elbow"
8773,23770  ,9,"Neurofibromatosis, unspecified"
8774,D176   ,10,Benign lipomatous neoplasm of spermatic cord
8775,43830  ,9,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side"
8776,M21332 ,10,"Wrist drop, left wrist"
8777,H00015 ,10,Hordeolum externum left lower eyelid
8778,J1529  ,10,Pneumonia due to other staphylococcus
8779,M064   ,10,Inflammatory polyarthropathy
8780,M7122  ,10,"Synovial cyst of popliteal space [Baker], left knee"
8781,T8110XA,10,"Postprocedural shock unspecified, initial encounter"
8782,N323   ,10,Diverticulum of bladder
8783,3526   ,9,Multiple cranial nerve palsies
8784,Y92007 ,10,Garden or yard of unspecified non-institutional (private) residence as the place of occurrence of the external cause
8785,B470   ,10,Eumycetoma
8786,S22069S,10,"Unspecified fracture of T7-T8 vertebra, sequela"
8787,W132XXS,10,"Fall from, out of or through roof, sequela"
8788,81241  ,9,Closed supracondylar fracture of humerus
8789,M459   ,10,Ankylosing spondylitis of unspecified sites in spine
8790,D72818 ,10,Other decreased white blood cell count
8791,A528   ,10,"Late syphilis, latent"
8792,T8029XA,10,"Infection following other infusion, transfusion and therapeutic injection, initial encounter"
8793,L03012 ,10,Cellulitis of left finger
8794,Z224   ,10,Carrier of infections with a predominantly sexual mode of transmission
8795,A7489  ,10,Other chlamydial diseases
8796,R010   ,10,Benign and innocent cardiac murmurs
8797,Z91419 ,10,Personal history of unspecified adult abuse
8798,82520  ,9,Closed fracture of unspecified bone(s) of foot [except toes]
8799,2140   ,9,Lipoma of skin and subcutaneous tissue of face
8800,M00251 ,10,"Other streptococcal arthritis, right hip"
8801,V1060  ,9,"Personal history of leukemia, unspecified"
8802,20890  ,9,"Unspecified leukemia, without mention of having achieved remission"
8803,T80910A,10,"Acute hemolytic transfusion reaction, unspecified incompatibility, initial encounter"
8804,N839   ,10,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
8805,E2681  ,10,Bartter's syndrome
8806,I2690  ,10,Septic pulmonary embolism without acute cor pulmonale
8807,T80218A,10,"Other infection due to central venous catheter, initial encounter"
8808,N83202 ,10,"Unspecified ovarian cyst, left side"
8809,H8090  ,10,"Unspecified otosclerosis, unspecified ear"
8810,H9103  ,10,"Ototoxic hearing loss, bilateral"
8811,T365X5A,10,"Adverse effect of aminoglycosides, initial encounter"
8812,T366X5A,10,"Adverse effect of rifampicins, initial encounter"
8813,A319   ,10,"Mycobacterial infection, unspecified"
8814,44772  ,9,Abdominal aortic ectasia
8815,3410   ,9,Neuromyelitis optica
8816,30530  ,9,"Hallucinogen abuse, unspecified"
8817,G360   ,10,Neuromyelitis optica [Devic]
8818,V5482  ,9,Aftercare following explantation of joint prosthesis
8819,I69931 ,10,Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
8820,W881XXS,10,"Exposure to radioactive isotopes, sequela"
8821,J709   ,10,Respiratory conditions due to unspecified external agent
8822,44289  ,9,Aneurysm of other specified artery
8823,23771  ,9,"Neurofibromatosis, type 1 [von recklinghausen's disease]"
8824,V1359  ,9,Personal history of other musculoskeletal disorders
8825,37852  ,9,"Third or oculomotor nerve palsy, total"
8826,F14129 ,10,"Cocaine abuse with intoxication, unspecified"
8827,260    ,9,Kwashiorkor
8828,2353   ,9,Neoplasm of uncertain behavior of liver and biliary passages
8829,2978   ,9,Other specified paranoid states
8830,38300  ,9,Acute mastoiditis without complications
8831,Z906   ,10,Acquired absence of other parts of urinary tract
8832,G131   ,10,Other systemic atrophy primarily affecting central nervous system in neoplastic disease
8833,Z7689  ,10,Persons encountering health services in other specified circumstances
8834,L658   ,10,Other specified nonscarring hair loss
8835,3317   ,9,Cerebral degeneration in diseases classified elsewhere
8836,2980   ,9,Depressive type psychosis
8837,G43A0  ,10,"Cyclical vomiting, in migraine, not intractable"
8838,C158   ,10,Malignant neoplasm of overlapping sites of esophagus
8839,J852   ,10,Abscess of lung without pneumonia
8840,L03319 ,10,"Cellulitis of trunk, unspecified"
8841,85306  ,9,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration"
8842,T85730A,10,"Infection and inflammatory reaction due to ventricular intracranial (communicating) shunt, initial encounter"
8843,K592   ,10,"Neurogenic bowel, not elsewhere classified"
8844,Q054   ,10,Unspecified spina bifida with hydrocephalus
8845,T8501XA,10,"Breakdown (mechanical) of ventricular intracranial (communicating) shunt, initial encounter"
8846,T71162A,10,"Asphyxiation due to hanging, intentional self-harm, initial encounter"
8847,M532X2 ,10,"Spinal instabilities, cervical region"
8848,Q680   ,10,Congenital deformity of sternocleidomastoid muscle
8849,V147   ,9,Personal history of allergy to serum or vaccine
8850,49321  ,9,Chronic obstructive asthma with status asthmaticus
8851,C258   ,10,Malignant neoplasm of overlapping sites of pancreas
8852,S30814A,10,"Abrasion of vagina and vulva, initial encounter"
8853,L293   ,10,"Anogenital pruritus, unspecified"
8854,E09649 ,10,Drug or chemical induced diabetes mellitus with hypoglycemia without coma
8855,T82858D,10,"Stenosis of other vascular prosthetic devices, implants and grafts, subsequent encounter"
8856,B5889  ,10,Toxoplasmosis with other organ involvement
8857,S01122A,10,"Laceration with foreign body of left eyelid and periocular area, initial encounter"
8858,1309   ,9,"Toxoplasmosis, unspecified"
8859,9239   ,9,Contusion of unspecified part of upper limb
8860,D47Z2  ,10,Castleman disease
8861,1307   ,9,Toxoplasmosis of other specified sites
8862,0071   ,9,Giardiasis
8863,1768   ,9,"Kaposi's sarcoma, other specified sites"
8864,G40401 ,10,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus"
8865,B948   ,10,Sequelae of other specified infectious and parasitic diseases
8866,C460   ,10,Kaposi's sarcoma of skin
8867,C463   ,10,Kaposi's sarcoma of lymph nodes
8868,C461   ,10,Kaposi's sarcoma of soft tissue
8869,C462   ,10,Kaposi's sarcoma of palate
8870,B1089  ,10,Other human herpesvirus infection
8871,1769   ,9,"Kaposi's sarcoma, unspecified site"
8872,37951  ,9,Congenital nystagmus
8873,0949   ,9,"Neurosyphilis, unspecified"
8874,09150  ,9,"Syphilitic uveitis, unspecified"
8875,0953   ,9,Syphilis of liver
8876,A045   ,10,Campylobacter enteritis
8877,V0990  ,9,"Infection with drug-resistant microorganisms, unspecified, without mention of multiple drug resistance"
8878,K5901  ,10,Slow transit constipation
8879,S42302A,10,"Unspecified fracture of shaft of humerus, left arm, initial encounter for closed fracture"
8880,S52022A,10,"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture"
8881,S41012A,10,"Laceration without foreign body of left shoulder, initial encounter"
8882,R892   ,10,"Abnormal level of other drugs, medicaments and biological substances in specimens from other organs, systems and tissues"
8883,73010  ,9,"Chronic osteomyelitis, site unspecified"
8884,K55059 ,10,"Acute (reversible) ischemia of intestine, part and extent unspecified"
8885,Y92031 ,10,Bathroom in apartment as the place of occurrence of the external cause
8886,K603   ,10,Anal fistula
8887,F1211  ,10,"Cannabis abuse, in remission"
8888,Z8612  ,10,Personal history of poliomyelitis
8889,Q791   ,10,Other congenital malformations of diaphragm
8890,K50114 ,10,Crohn's disease of large intestine with abscess
8891,K50113 ,10,Crohn's disease of large intestine with fistula
8892,H53451 ,10,"Other localized visual field defect, right eye"
8893,36232  ,9,Retinal arterial branch occlusion
8894,2513   ,9,Postsurgical hypoinsulinemia
8895,2152   ,9,"Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
8896,1538   ,9,Malignant neoplasm of other specified sites of large intestine
8897,M9701XA,10,"Periprosthetic fracture around internal prosthetic right hip joint, initial encounter"
8898,S82202A,10,"Unspecified fracture of shaft of left tibia, initial encounter for closed fracture"
8899,S82402A,10,"Unspecified fracture of shaft of left fibula, initial encounter for closed fracture"
8900,I00    ,10,Rheumatic fever without heart involvement
8901,M1389  ,10,"Other specified arthritis, multiple sites"
8902,Q828   ,10,Other specified congenital malformations of skin
8903,M11261 ,10,"Other chondrocalcinosis, right knee"
8904,M25471 ,10,"Effusion, right ankle"
8905,K1121  ,10,Acute sialoadenitis
8906,M11212 ,10,"Other chondrocalcinosis, left shoulder"
8907,C8518  ,10,"Unspecified B-cell lymphoma, lymph nodes of multiple sites"
8908,20285  ,9,"Other malignant lymphomas, lymph nodes of inguinal region and lower limb"
8909,61171  ,9,Mastodynia
8910,H9041  ,10,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
8911,T387X5A,10,"Adverse effect of androgens and anabolic congeners, initial encounter"
8912,T39016A,10,"Underdosing of aspirin, initial encounter"
8913,1503   ,9,Malignant neoplasm of upper third of esophagus
8914,1500   ,9,Malignant neoplasm of cervical esophagus
8915,3961   ,9,Mitral valve stenosis and aortic valve insufficiency
8916,72611  ,9,Calcifying tendinitis of shoulder
8917,59373  ,9,Other vesicoureteral reflux with reflux nephropathy NOS
8918,72705  ,9,Other tenosynovitis of hand and wrist
8919,71213  ,9,"Chondrocalcinosis, due to dicalcium phosphate crystals, forearm"
8920,4466   ,9,Thrombotic microangiopathy
8921,29043  ,9,"Vascular dementia, with depressed mood"
8922,I82C21 ,10,Chronic embolism and thrombosis of right internal jugular vein
8923,D6942  ,10,Congenital and hereditary thrombocytopenia purpura
8924,T8061XA,10,"Other serum reaction due to administration of blood and blood products, initial encounter"
8925,A858   ,10,Other specified viral encephalitis
8926,K37    ,10,Unspecified appendicitis
8927,M84451A,10,"Pathological fracture, right femur, initial encounter for fracture"
8928,M8008XD,10,"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing"
8929,M7121  ,10,"Synovial cyst of popliteal space [Baker], right knee"
8930,L563   ,10,Solar urticaria
8931,H906   ,10,"Mixed conductive and sensorineural hearing loss, bilateral"
8932,L0201  ,10,Cutaneous abscess of face
8933,S36113D,10,"Laceration of liver, unspecified degree, subsequent encounter"
8934,S2239XD,10,"Fracture of one rib, unspecified side, subsequent encounter for fracture with routine healing"
8935,N8311  ,10,Corpus luteum cyst of right ovary
8936,R29735 ,10,NIHSS score 35
8937,F1220  ,10,"Cannabis dependence, uncomplicated"
8938,79389  ,9,Other (abnormal) findings on radiological examination of breast
8939,M79644 ,10,Pain in right finger(s)
8940,S36029D,10,"Unspecified contusion of spleen, subsequent encounter"
8941,S42202D,10,"Unspecified fracture of upper end of left humerus, subsequent encounter for fracture with routine healing"
8942,66401  ,9,"First-degree perineal laceration, delivered, with or without mention of antepartum condition"
8943,V252   ,9,Sterilization
8944,O8621  ,10,Infection of kidney following delivery
8945,Z9851  ,10,Tubal ligation status
8946,64663  ,9,"Infections of genitourinary tract in pregnancy, antepartum condition or complication"
8947,64813  ,9,"Thyroid dysfunction of mother, antepartum condition or complication"
8948,M898X7 ,10,"Other specified disorders of bone, ankle and foot"
8949,Y92830 ,10,Public park as the place of occurrence of the external cause
8950,F04    ,10,Amnestic disorder due to known physiological condition
8951,G94    ,10,Other disorders of brain in diseases classified elsewhere
8952,F1096  ,10,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
8953,T83021A,10,"Displacement of indwelling urethral catheter, initial encounter"
8954,5253   ,9,Retained dental root
8955,K8030  ,10,"Calculus of bile duct with cholangitis, unspecified, without obstruction"
8956,78461  ,9,Alexia and dyslexia
8957,17342  ,9,Squamous cell carcinoma of scalp and skin of neck
8958,M25432 ,10,"Effusion, left wrist"
8959,5561   ,9,Ulcerative (chronic) ileocolitis
8960,0390   ,9,Cutaneous actinomycotic infection
8961,0398   ,9,Actinomycotic infection of other specified sites
8962,1940   ,9,Malignant neoplasm of adrenal gland
8963,08882  ,9,Babesiosis
8964,08881  ,9,Lyme Disease
8965,I6782  ,10,Cerebral ischemia
8966,66101  ,9,"Primary uterine inertia, delivered, with or without mention of antepartum condition"
8967,66602  ,9,"Third-stage postpartum hemorrhage, delivered, with mention of postpartum complication"
8968,64121  ,9,"Premature separation of placenta, delivered, with or without mention of antepartum condition"
8969,64682  ,9,"Other specified complications of pregnancy, delivered, with mention of postpartum complication"
8970,67482  ,9,"Other complications of puerperium, delivered, with mention of postpartum complication"
8971,00843  ,9,Intestinal infection due to campylobacter
8972,N29    ,10,Other disorders of kidney and ureter in diseases classified elsewhere
8973,48801  ,9,Influenza due to identified avian influenza virus with pneumonia
8974,M84552D,10,"Pathological fracture in neoplastic disease, left femur, subsequent encounter for fracture with routine healing"
8975,M84552A,10,"Pathological fracture in neoplastic disease, left femur, initial encounter for fracture"
8976,H5789  ,10,Other specified disorders of eye and adnexa
8977,G5793  ,10,Unspecified mononeuropathy of bilateral lower limbs
8978,73301  ,9,Senile osteoporosis
8979,37923  ,9,Vitreous hemorrhage
8980,61800  ,9,Unspecified prolapse of vaginal walls
8981,9670   ,9,Poisoning by barbiturates
8982,E851   ,9,Accidental poisoning by barbiturates
8983,9091   ,9,Late effect of toxic effects of nonmedical substances
8984,E9292  ,9,Late effects of accidental poisoning
8985,T560X1S,10,"Toxic effect of lead and its compounds, accidental (unintentional), sequela"
8986,E9370  ,9,Barbiturates causing adverse effects in therapeutic use
8987,E9501  ,9,Suicide and self-inflicted poisoning by barbiturates
8988,81502  ,9,Closed fracture of base of other metacarpal bone(s)
8989,4320   ,9,Nontraumatic extradural hemorrhage
8990,7816   ,9,Meningismus
8991,V138   ,9,Personal history of other specified diseases
8992,39899  ,9,Other rheumatic heart diseases
8993,D0501  ,10,Lobular carcinoma in situ of right breast
8994,D414   ,10,Neoplasm of uncertain behavior of bladder
8995,V5872  ,9,"Aftercare following surgery of the nervous system, NEC"
8996,59011  ,9,Acute pyelonephritis with lesion of renal medullary necrosis
8997,82002  ,9,Closed fracture of midcervical section of neck of femur
8998,05443  ,9,Herpes simplex disciform keratitis
8999,B0052  ,10,Herpesviral keratitis
9000,37040  ,9,"Keratoconjunctivitis, unspecified"
9001,99585  ,9,Other adult abuse and neglect
9002,K2940  ,10,Chronic atrophic gastritis without bleeding
9003,05329  ,9,Herpes zoster with other ophthalmic complications
9004,05444  ,9,Herpes simplex iridocyclitis
9005,36563  ,9,Glaucoma associated with vascular disorders
9006,37931  ,9,Aphakia
9007,05320  ,9,Herpes zoster dermatitis of eyelid
9008,05440  ,9,Herpes simplex with unspecified ophthalmic complication
9009,S83241A,10,"Other tear of medial meniscus, current injury, right knee, initial encounter"
9010,S83241D,10,"Other tear of medial meniscus, current injury, right knee, subsequent encounter"
9011,78071  ,9,Chronic fatigue syndrome
9012,F12950 ,10,"Cannabis use, unspecified with psychotic disorder with delusions"
9013,C322   ,10,Malignant neoplasm of subglottis
9014,F13231 ,10,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
9015,K833   ,10,Fistula of bile duct
9016,E1144  ,10,Type 2 diabetes mellitus with diabetic amyotrophy
9017,C55    ,10,"Malignant neoplasm of uterus, part unspecified"
9018,1884   ,9,Malignant neoplasm of posterior wall of urinary bladder
9019,I455   ,10,Other specified heart block
9020,S96111A,10,"Strain of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot, initial encounter"
9021,48802  ,9,Influenza due to identified avian influenza virus with other respiratory manifestations
9022,Z332   ,10,Encounter for elective termination of pregnancy
9023,M0890  ,10,"Juvenile arthritis, unspecified, unspecified site"
9024,R1900  ,10,"Intra-abdominal and pelvic swelling, mass and lump, unspecified site"
9025,2118   ,9,Benign neoplasm of retroperitoneum and peritoneum
9026,T447X1A,10,"Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional), initial encounter"
9027,44323  ,9,Dissection of renal artery
9028,04183  ,9,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens"
9029,V198   ,9,Family history of other condition
9030,9920   ,9,Heat stroke and sunstroke
9031,E9000  ,9,Accident caused by excessive heat due to weather conditions
9032,Q399   ,10,"Congenital malformation of esophagus, unspecified"
9033,S51012A,10,"Laceration without foreign body of left elbow, initial encounter"
9034,S51011A,10,"Laceration without foreign body of right elbow, initial encounter"
9035,Z887   ,10,Allergy status to serum and vaccine status
9036,1231   ,9,Cysticercosis
9037,43390  ,9,Occlusion and stenosis of unspecified precerebral artery without mention of cerebral infarction
9038,D7389  ,10,Other diseases of spleen
9039,79021  ,9,Impaired fasting glucose
9040,G971   ,10,Other reaction to spinal and lumbar puncture
9041,R9401  ,10,Abnormal electroencephalogram [EEG]
9042,S199XXA,10,"Unspecified injury of neck, initial encounter"
9043,R937   ,10,Abnormal findings on diagnostic imaging of other parts of musculoskeletal system
9044,E139   ,10,Other specified diabetes mellitus without complications
9045,S82871A,10,"Displaced pilon fracture of right tibia, initial encounter for closed fracture"
9046,K7041  ,10,Alcoholic hepatic failure with coma
9047,S61213A,10,"Laceration without foreign body of left middle finger without damage to nail, initial encounter"
9048,S61215A,10,"Laceration without foreign body of left ring finger without damage to nail, initial encounter"
9049,V0310XA,10,"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
9050,S32021A,10,"Stable burst fracture of second lumbar vertebra, initial encounter for closed fracture"
9051,S32010A,10,"Wedge compression fracture of first lumbar vertebra, initial encounter for closed fracture"
9052,S34102A,10,"Unspecified injury to L2 level of lumbar spinal cord, initial encounter"
9053,S34104A,10,"Unspecified injury to L4 level of lumbar spinal cord, initial encounter"
9054,6869   ,9,Unspecified local infection of skin and subcutaneous tissue
9055,R29709 ,10,NIHSS score 9
9056,G14    ,10,Postpolio syndrome
9057,E7801  ,10,Familial hypercholesterolemia
9058,K8581  ,10,Other acute pancreatitis with uninfected necrosis
9059,D588   ,10,Other specified hereditary hemolytic anemias
9060,T451X1A,10,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), initial encounter"
9061,4171   ,9,Aneurysm of pulmonary artery
9062,E8716  ,9,Foreign object left in body during heart catheterization
9063,E7404  ,10,McArdle disease
9064,L89621 ,10,"Pressure ulcer of left heel, stage 1"
9065,L89611 ,10,"Pressure ulcer of right heel, stage 1"
9066,87261  ,9,"Open wound of ear drum, without mention of complication"
9067,99632  ,9,Mechanical complication due to intrauterine contraceptive device
9068,6150   ,9,"Acute inflammatory diseases of uterus, except cervix"
9069,6159   ,9,Unspecified inflammatory disease of uterus
9070,V1553  ,9,Personal history of retained foreign body fully removed
9071,I470   ,10,Re-entry ventricular arrhythmia
9072,B974   ,10,Respiratory syncytial virus as the cause of diseases classified elsewhere
9073,V8821  ,9,Acquired absence of hip joint
9074,V1229  ,9,"Personal history of other endocrine, metabolic, and immunity disorders"
9075,T8451XD,10,"Infection and inflammatory reaction due to internal right hip prosthesis, subsequent encounter"
9076,Z1635  ,10,Resistance to multiple antimicrobial drugs
9077,T8332XA,10,"Displacement of intrauterine contraceptive device, initial encounter"
9078,K7110  ,10,"Toxic liver disease with hepatic necrosis, without coma"
9079,T478X5A,10,"Adverse effect of other agents primarily affecting gastrointestinal system, initial encounter"
9080,G5611  ,10,"Other lesions of median nerve, right upper limb"
9081,B019   ,10,Varicella without complication
9082,M26602 ,10,"Left temporomandibular joint disorder, unspecified"
9083,H8302  ,10,"Labyrinthitis, left ear"
9084,K50918 ,10,"Crohn's disease, unspecified, with other complication"
9085,K055   ,10,Other periodontal diseases
9086,9658   ,9,Poisoning by other specified analgesics and antipyretics
9087,E8508  ,9,Accidental poisoning by other specified analgesics and antipyretics
9088,Q670   ,10,Congenital facial asymmetry
9089,4374   ,9,Cerebral arteritis
9090,O99512 ,10,"Diseases of the respiratory system complicating pregnancy, second trimester"
9091,O2403  ,10,"Pre-existing type 1 diabetes mellitus, in the puerperium"
9092,O1093  ,10,Unspecified pre-existing hypertension complicating the puerperium
9093,O2402  ,10,"Pre-existing type 1 diabetes mellitus, in childbirth"
9094,K5751  ,10,Diverticulosis of both small and large intestine without perforation or abscess with bleeding
9095,M10032 ,10,"Idiopathic gout, left wrist"
9096,Z636   ,10,Dependent relative needing care at home
9097,M10072 ,10,"Idiopathic gout, left ankle and foot"
9098,T189XXA,10,"Foreign body of alimentary tract, part unspecified, initial encounter"
9099,9895   ,9,Toxic effect of venom
9100,E9059  ,9,Poisoning and toxic reactions caused by unspecified animals and plants
9101,V1505  ,9,Allergy to other foods
9102,9779   ,9,Poisoning by unspecified drug or medicinal substance
9103,E9805  ,9,"Poisoning by unspecified drug or medicinal substance, undetermined whether accidentally or purposely inflicted"
9104,37630  ,9,"Exophthalmos, unspecified"
9105,36617  ,9,Total or mature cataract
9106,35789  ,9,Other inflammatory and toxic neuropathy
9107,99561  ,9,Anaphylactic reaction due to peanuts
9108,T85890A,10,"Other specified complication of nervous system prosthetic devices, implants and grafts, initial encounter"
9109,N3040  ,10,Irradiation cystitis without hematuria
9110,36231  ,9,Central retinal artery occlusion
9111,Y788   ,10,"Miscellaneous radiological devices associated with adverse incidents, not elsewhere classified"
9112,N358   ,10,Other urethral stricture
9113,C7650  ,10,Malignant neoplasm of unspecified lower limb
9114,C4372  ,10,"Malignant melanoma of left lower limb, including hip"
9115,74259  ,9,Other specified congenital anomalies of spinal cord
9116,2454   ,9,Iatrogenic thyroiditis
9117,N99520 ,10,Hemorrhage of incontinent external stoma of urinary tract
9118,I69111 ,10,Memory deficit following nontraumatic intracerebral hemorrhage
9119,51282  ,9,Secondary spontaneous pneumothorax
9120,K51211 ,10,Ulcerative (chronic) proctitis with rectal bleeding
9121,L602   ,10,Onychogryphosis
9122,C169   ,10,"Malignant neoplasm of stomach, unspecified"
9123,S0121XA,10,"Laceration without foreign body of nose, initial encounter"
9124,C165   ,10,"Malignant neoplasm of lesser curvature of stomach, unspecified"
9125,I6349  ,10,Cerebral infarction due to embolism of other cerebral artery
9126,G3189  ,10,Other specified degenerative diseases of nervous system
9127,Z741   ,10,Need for assistance with personal care
9128,C4490  ,10,"Unspecified malignant neoplasm of skin, unspecified"
9129,C3482  ,10,Malignant neoplasm of overlapping sites of left bronchus and lung
9130,71235  ,9,"Chondrocalcinosis, unspecified, pelvic region and thigh"
9131,7335   ,9,Osteitis condensans
9132,L89220 ,10,"Pressure ulcer of left hip, unstageable"
9133,H4051X3,10,"Glaucoma secondary to other eye disorders, right eye, severe stage"
9134,H348310,10,"Tributary (branch) retinal vein occlusion, right eye, with macular edema"
9135,H348112,10,"Central retinal vein occlusion, right eye, stable"
9136,M5186  ,10,"Other intervertebral disc disorders, lumbar region"
9137,28950  ,9,"Disease of spleen, unspecified"
9138,H01006 ,10,"Unspecified blepharitis left eye, unspecified eyelid"
9139,H01003 ,10,"Unspecified blepharitis right eye, unspecified eyelid"
9140,M86141 ,10,"Other acute osteomyelitis, right hand"
9141,32381  ,9,Other causes of encephalitis and encephalomyelitis
9142,3530   ,9,Brachial plexus lesions
9143,T797XXA,10,"Traumatic subcutaneous emphysema, initial encounter"
9144,G540   ,10,Brachial plexus disorders
9145,38589  ,9,Other disorders of middle ear and mastoid
9146,H3411  ,10,"Central retinal artery occlusion, right eye"
9147,O3421  ,10,Maternal care for scar from previous cesarean delivery
9148,O751   ,10,Shock during or following labor and delivery
9149,O68    ,10,Labor and delivery complicated by abnormality of fetal acid-base balance
9150,31381  ,9,Oppositional defiant disorder
9151,5273   ,9,Abscess of salivary gland
9152,25093  ,9,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled"
9153,36107  ,9,"Old retinal detachment, total or subtotal"
9154,Z0389  ,10,Encounter for observation for other suspected diseases and conditions ruled out
9155,N2882  ,10,Megaloureter
9156,H9313  ,10,"Tinnitus, bilateral"
9157,L97409 ,10,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity
9158,A480   ,10,Gas gangrene
9159,R1111  ,10,Vomiting without nausea
9160,L97512 ,10,Non-pressure chronic ulcer of other part of right foot with fat layer exposed
9161,N134   ,10,Hydroureter
9162,R934   ,10,Abnormal findings on diagnostic imaging of urinary organs
9163,D134   ,10,Benign neoplasm of liver
9164,63471  ,9,"Spontaneous abortion, with other specified complications, incomplete"
9165,O7582  ,10,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section"
9166,O24410 ,10,"Gestational diabetes mellitus in pregnancy, diet controlled"
9167,O99412 ,10,"Diseases of the circulatory system complicating pregnancy, second trimester"
9168,H3582  ,10,Retinal ischemia
9169,I6503  ,10,Occlusion and stenosis of bilateral vertebral arteries
9170,F518   ,10,Other sleep disorders not due to a substance or known physiological condition
9171,G710   ,10,Muscular dystrophy
9172,S20212A,10,"Contusion of left front wall of thorax, initial encounter"
9173,M1489  ,10,"Arthropathies in other specified diseases classified elsewhere, multiple sites"
9174,N19    ,10,Unspecified kidney failure
9175,73006  ,9,"Acute osteomyelitis, lower leg"
9176,24991  ,9,"Secondary diabetes mellitus with unspecified complication, uncontrolled"
9177,5224   ,9,Acute apical periodontitis of pulpal origin
9178,C23    ,10,Malignant neoplasm of gallbladder
9179,K823   ,10,Fistula of gallbladder
9180,Q441   ,10,Other congenital malformations of gallbladder
9181,K8021  ,10,Calculus of gallbladder without cholecystitis with obstruction
9182,5962   ,9,"Vesical fistula, not elsewhere classified"
9183,0778   ,9,Other viral conjunctivitis
9184,4878   ,9,Influenza with other manifestations
9185,J8417  ,10,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere
9186,0980   ,9,Gonococcal infection (acute) of lower genitourinary tract
9187,5800   ,9,Acute glomerulonephritis with lesion of proliferative glomerulonephritis
9188,S42201K,10,"Unspecified fracture of upper end of right humerus, subsequent encounter for fracture with nonunion"
9189,M12511 ,10,"Traumatic arthropathy, right shoulder"
9190,R29712 ,10,NIHSS score 12
9191,S025XXA,10,"Fracture of tooth (traumatic), initial encounter for closed fracture"
