NOTE: NEW CODES ARE INTRODUCED IN OCTOBER AND OLD CODES ARE PHASED OUT IN SEPTEMBER.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION'
'5259 ','99 ','OR GI Rx prs     ',"PARTIAL PANCREATECT NEC"
'526  ','99 ','OR GI Rx prs     ',"TOTAL PANCREATECTOMY"
'527  ','99 ','OR GI Rx prs     ',"RAD PANCREATICODUODENECT"
'5292 ','99 ','OR GI Rx prs     ',"(OTH) CANNULAT PANCRE DUC(Begin 1989)"
'5295 ','99 ','OR GI Rx prs     ',"PANCREATIC REPAIR NEC"
'5296 ','99 ','OR GI Rx prs     ',"PANCREATIC ANASTOMOSIS"
'5299 ','99 ','OR GI Rx prs     ',"PANCREATIC OPERATION NEC (Begin 1989)"
'540  ','99 ','OR GI Rx prs     ',"ABDOMINAL WALL INCISION"
'5412 ','99 ','OR GI Rx prs     ',"REOPEN RECENT LAP SITE"
'5419 ','99 ','OR GI Rx prs     ',"LAPAROTOMY NEC"
'543  ','99 ','OR GI Rx prs     ',"DESTRUCT ABD WALL LESION"
'544  ','99 ','OR GI Rx prs     ',"DESTRUCT PERITONEAL TISS"
'5461 ','99 ','OR GI Rx prs     ',"RECLOSE POST OP DISRUPT"
'5462 ','99 ','OR GI Rx prs     ',"DELAYED CLOS ABD WOUND"
'5463 ','99 ','OR GI Rx prs     ',"ABD WALL SUTURE NEC"
'5464 ','99 ','OR GI Rx prs     ',"PERITONEAL SUTURE"
'5471 ','99 ','OR GI Rx prs     ',"REPAIR OF GASTROSCHISIS"
'5472 ','99 ','OR GI Rx prs     ',"ABDOMEN WALL REPAIR NEC"
'5473 ','99 ','OR GI Rx prs     ',"PERITONEAL REPAIR NEC"
'5474 ','99 ','OR GI Rx prs     ',"OMENTAL REPAIR NEC"
'5475 ','99 ','OR GI Rx prs     ',"MESENTERIC REPAIR NEC"
'5492 ','99 ','OR GI Rx prs     ',"REMOVE FB FROM PERITON"
'5493 ','99 ','OR GI Rx prs     ',"CREATE CUTANPERITON FIST"
'5494 ','99 ','OR GI Rx prs     ',"CREAT PERITONEOVAS SHUNT"
'5495 ','99 ','OR GI Rx prs     ',"PERITONEAL INCISION"
'5521 ','100','Urin endosco     ',"NEPHROSCOPY"
'5522 ','100','Urin endosco     ',"PYELOSCOPY"
'5631 ','100','Urin endosco     ',"URETEROSCOPY"
'5633 ','100','Urin endosco     ',"CLOS ENDOSC URETERAL BX (Begin 1987)"
'5732 ','100','Urin endosco     ',"CYSTOSCOPY NEC"
'5733 ','100','Urin endosco     ',"CLOS TRANSURETH BLADD BX"
'5822 ','100','Urin endosco     ',"URETHROSCOPY NEC"
'5823 ','100','Urin endosco     ',"URETHRAL BIOPSY"
'560  ','101','Transur rem      ',"TU REMOV URETER OBSTRUCT"
'570  ','101','Transur rem      ',"TU BLADDER CLEARANCE"
'5741 ','101','Transur rem      ',"TU ADHESIOLYSIS BLADDER"
'5749 ','101','Transur rem      ',"TU DESTRUC BLADD LES NEC"
'598  ','102','Ureter cath      ',"URETERAL CATHETERIZATION"
'5501 ','103','Nephrotomy       ',"NEPHROTOMY"
'5502 ','103','Nephrotomy       ',"NEPHROSTOMY"
'5503 ','103','Nephrotomy       ',"PERCU NEPHROSTM W/O FRAG (Begin 1986)"
'5504 ','103','Nephrotomy       ',"PERCU NEPHROSTMY W FRAG (Begin 1986)"
'5511 ','103','Nephrotomy       ',"PYELOTOMY"
'5512 ','103','Nephrotomy       ',"PYELOSTOMY"
'554  ','104','Nephrectomy      ',"PARTIAL NEPHRECTOMY"
'5551 ','104','Nephrectomy      ',"NEPHROURETERECTOMY"
'5552 ','104','Nephrectomy      ',"SOLITARY KIDNEY NEPHRECT"
'5553 ','104','Nephrectomy      ',"REJECTED KIDNEY NEPHRECT"
'5554 ','104','Nephrectomy      ',"BILATERAL NEPHRECTOMY"
'5561 ','105','Kidney trans     ',"RENAL AUTOTRANSPLANT"
'5569 ','105','Kidney trans     ',"KIDNEY TRANSPLANT NEC"
'593  ','106','GU incont pr     ',"URETHROVES JUNCT PLICAT"
'594  ','106','GU incont pr     ',"SUPRAPUBIC SLING OP"
'595  ','106','GU incont pr     ',"RETROPUBIC URETH SUSPENS"
'596  ','106','GU incont pr     ',"PARAURETHRAL SUSPENSION"
'5971 ','106','GU incont pr     ',"LEVATOR MUSC SUSPENSION"
'5972 ','106','GU incont pr     ',"INJECT IMPL URETHRA (Begin 1995)"
'5979 ','106','GU incont pr     ',"URIN INCONTIN REPAIR NEC"
'5995 ','107','Lithotrip ur     ',"ULTRASON FRAGMENT-STONE"
'5996 ','107','Lithotrip ur     ',"LITHOTRIPSY URIN (Begin 1986 End 1989)"
'9851 ','107','Lithotrip ur     ',"ESWL KID/URETER/BLADDER (Begin 1989)"
'5794 ','108','Urine cath       ',"INSERT INDWELLING CATH"
'580  ','109','Prcs urethra     ',"URETHROTOMY"
'581  ','109','Prcs urethra     ',"URETHRAL MEATOTOMY"
'583  ','109','Prcs urethra     ',"EXCIS DESTR URETHRA LES (Begin 1980 End 1990)"
'5831 ','109','Prcs urethra     ',"ENDOSC DESTR URETHRA LES (Begin 1990)"
'5839 ','109','Prcs urethra     ',"OTHER DESTRU URETHRA LES (Begin 1990)"
'5841 ','109','Prcs urethra     ',"SUTURE URETHRAL LACERAT"
'5842 ','109','Prcs urethra     ',"URETHROSTOMY CLOSURE"
'5843 ','109','Prcs urethra     ',"CLOSE URETH FISTULA NEC"
'5844 ','109','Prcs urethra     ',"URETHRAL REANASTOMOSIS"
'5845 ','109','Prcs urethra     ',"HYPO-EPISPADIUS REPAIR"
'5846 ','109','Prcs urethra     ',"URETH RECONSTRUCTION NEC"
'5847 ','109','Prcs urethra     ',"URETHRAL MEATOPLASTY"
'5849 ','109','Prcs urethra     ',"URETHRAL REPAIR NEC"
'585  ','109','Prcs urethra     ',"URETH STRICTURE RELEASE"
'586  ','109','Prcs urethra     ',"URETHRAL DILATION"
'5891 ','109','Prcs urethra     ',"PERIURETHRAL INCISION"
'5892 ','109','Prcs urethra     ',"PERIURETHRAL EXCISION"
'5893 ','109','Prcs urethra     ',"IMPLT ARTF URIN SPHINCT (Begin 1986)"
'5899 ','109','Prcs urethra     ',"URETH/PERIURETH OP NEC"
'5523 ','110','Dx prc urin      ',"CLOSED RENAL BIOPSY"
'5524 ','110','Dx prc urin      ',"OPEN RENAL BIOPSY"
'5529 ','110','Dx prc urin      ',"RENAL DIAGNOST PROC NEC"
'5632 ','110','Dx prc urin      ',"CLOSED URETERAL BIOPSY"
'5634 ','110','Dx prc urin      ',"OPEN URETERAL BIOPSY (Begin 1987)"
'5635 ','110','Dx prc urin      ',"ENDOSCOPIC ILEAL CONDUIT (Begin 1987)"
'5639 ','110','Dx prc urin      ',"URETERAL DX PROCEDUR NEC"
'5731 ','110','Dx prc urin      ',"CYSTOSCOPY THRU STOMA"
'5734 ','110','Dx prc urin      ',"OPEN BLADDER BIOPSY"
'5739 ','110','Dx prc urin      ',"BLADDER DIAGNOS PROC NEC"
'5821 ','110','Dx prc urin      ',"PERINEAL URETHROSCOPY"
'5824 ','110','Dx prc urin      ',"PERIURETHRAL BIOPSY"
'5829 ','110','Dx prc urin      ',"URETHRAL DX PROC NEC"
'5921 ','110','Dx prc urin      ',"PERIREN/URETERAL BIOPSY"
'5929 ','110','Dx prc urin      ',"PERIREN/URET DX PROC NEC"
'5592 ','111','nOR Rx urin      ',"PERCUTAN RENAL ASPIRAT"
'5593 ','111','nOR Rx urin      ',"REPLACE NEPHROSTOMY TUBE"
'5594 ','111','nOR Rx urin      ',"REPLACE PYELOSTOMY TUBE"
'5595 ','111','nOR Rx urin      ',"LOCAL RENAL PERFUSION"
'5596 ','111','nOR Rx urin      ',"RENAL INJECTION NEC"
'5691 ','111','nOR Rx urin      ',"URETERAL MEATUS DILATION"
'5711 ','111','nOR Rx urin      ',"PERCUTAN BLADDER ASPIRAT"
'5717 ','111','nOR Rx urin      ',"PERCUTANEOUS CYSTOSTOMY (Begin 1989)"
'5792 ','111','nOR Rx urin      ',"BLADDER NECK DILATION"
'5795 ','111','nOR Rx urin      ',"REPLACE INDWELLING CATH"
'5993 ','111','nOR Rx urin      ',"REPLACE URETEROST TUBE"
'5994 ','111','nOR Rx urin      ',"REPLACE CYSTOSTOMY TUBE"
'5999 ','111','nOR Rx urin      ',"URINARY SYSTEM OP NEC"
'9625 ','111','nOR Rx urin      ',"THERAPEUT DISTENT BLADD"
'9645 ','111','nOR Rx urin      ',"NEPHROST/PYELOST IRRIGAT"
'9646 ','111','nOR Rx urin      ',"URTEROST/URETE CTH IRRIG"
'9647 ','111','nOR Rx urin      ',"CYSTOSTOMY IRRIGATION"
'9648 ','111','nOR Rx urin      ',"INDWELL CATH IRRIG NEC"
'9649 ','111','nOR Rx urin      ',"OTHER GU INSTILLATION"
'9761 ','111','nOR Rx urin      ',"REMOV PYELOS/NEPHROS TUB"
'9762 ','111','nOR Rx urin      ',"REMOV URETERAL DRAIN"
'9763 ','111','nOR Rx urin      ',"REMOV CYSTOSTOMY TUBE"
'9764 ','111','nOR Rx urin      ',"REMOV URIN DRAINAGE NEC"
'9765 ','111','nOR Rx urin      ',"REMOV URETHRAL STENT"
'9769 ','111','nOR Rx urin      ',"REMOV OTHER URIN DEVICE"
'5531 ','112','OR Rx urin       ',"RENAL LES MARSUPIALIZAT"
'5532 ','112','OR Rx urin       ',"OPN ABLTN RENAL LES/TISS (Begin 2006)"
'5533 ','112','OR Rx urin       ',"PERC ABLTN RENL LES/TISS (Begin 2006)"
'5534 ','112','OR Rx urin       ',"LAP ABLTN RENAL LES/TISS (Begin 2006)"
'5535 ','112','OR Rx urin       ',"ABLTN RENAL LES/TISS NEC (Begin 2006)"
'5539 ','112','OR Rx urin       ',"LOC DESTR RENAL LES NEC"
'557  ','112','OR Rx urin       ',"NEPHROPEXY"
'5581 ','112','OR Rx urin       ',"SUTURE KIDNEY LACERATION"
'5582 ','112','OR Rx urin       ',"CLOSE NEPHROST & PYELOST"
'5583 ','112','OR Rx urin       ',"CLOSE RENAL FISTULA NEC"
'5584 ','112','OR Rx urin       ',"REDUCE RENAL PEDICL TORS"
'5585 ','112','OR Rx urin       ',"SYMPHYSIOTOMY"
'5586 ','112','OR Rx urin       ',"RENAL ANASTOMOSIS"
'5587 ','112','OR Rx urin       ',"CORRECT URETEROPELV JUNC"
'5589 ','112','OR Rx urin       ',"RENAL REPAIR NEC"
'5591 ','112','OR Rx urin       ',"RENAL DECAPSULATION"
'5597 ','112','OR Rx urin       ',"IMPLANT MECHANIC KIDNEY"
'5598 ','112','OR Rx urin       ',"REMOV MECHANICAL KIDNEY"
'5599 ','112','OR Rx urin       ',"RENAL OPERATION NEC"
'561  ','112','OR Rx urin       ',"URETERAL MEATOTOMY"
'562  ','112','OR Rx urin       ',"URETEROTOMY"
'5640 ','112','OR Rx urin       ',"URETERECTOMY NOS"
'5641 ','112','OR Rx urin       ',"PARTIAL URETERECTOMY"
'5642 ','112','OR Rx urin       ',"TOTAL URETERECTOMY"
'5651 ','112','OR Rx urin       ',"FORM CUTAN ILEOURETEROST"
'5652 ','112','OR Rx urin       ',"REVIS CUTAN ILEOURETEROS"
'5661 ','112','OR Rx urin       ',"FORM CUTAN URETEROSTOMY"
'5662 ','112','OR Rx urin       ',"REVIS CUTAN URETEROS NEC"
'5671 ','112','OR Rx urin       ',"URIN DIVERSION TO BOWEL"
'5672 ','112','OR Rx urin       ',"REVIS URETEROENTEROSTOMY"
'5673 ','112','OR Rx urin       ',"NEPHROCYSTANASTOMOSI NOS"
'5674 ','112','OR Rx urin       ',"URETERONEOCYSTOSTOMY"
'5675 ','112','OR Rx urin       ',"TRANSURETEROURETEROSTOMY"
'5679 ','112','OR Rx urin       ',"URETERAL ANASTOMOSIS NEC"
'5681 ','112','OR Rx urin       ',"INTRALUM URETE ADHESIOLY"
'5682 ','112','OR Rx urin       ',"SUTURE URETERAL LACERAT"
'5683 ','112','OR Rx urin       ',"URETEROSTOMY CLOSURE"
'5684 ','112','OR Rx urin       ',"CLOSE URETER FISTULA NEC"
'5685 ','112','OR Rx urin       ',"URETEROPEXY"
'5686 ','112','OR Rx urin       ',"REMOVE URETERAL LIGATURE"
'5689 ','112','OR Rx urin       ',"REPAIR OF URETER NEC"
'5692 ','112','OR Rx urin       ',"IMPLANT URETERAL STIMUL"
'5693 ','112','OR Rx urin       ',"REPLACE URETERAL STIMUL"
'5694 ','112','OR Rx urin       ',"REMOVE URETERAL STIMULAT"
'5695 ','112','OR Rx urin       ',"LIGATION OF URETER"
'5699 ','112','OR Rx urin       ',"URETERAL OPERATION NEC"
'5712 ','112','OR Rx urin       ',"CYSTOTOMY & ADHESIOLYSIS"
'5718 ','112','OR Rx urin       ',"OTHER SUPRAPU CYSTOSTOMY (Begin 1989)"
'5719 ','112','OR Rx urin       ',"CYSTOTOMY NEC"
'5721 ','112','OR Rx urin       ',"CYSTOSTOMY (Begin 1989)"
'5722 ','112','OR Rx urin       ',"REVISE CYSTOSTOMY (Begin 1989)"
'5751 ','112','OR Rx urin       ',"EXCISION OF URACHUS"
'5759 ','112','OR Rx urin       ',"BLADDER LES DESTRUCT NEC"
'576  ','112','OR Rx urin       ',"PARTIAL CYSTECTOMY"
'5771 ','112','OR Rx urin       ',"RADICAL CYSTECTOMY"
'5779 ','112','OR Rx urin       ',"TOTAL CYSTECTOMY NEC"
'5781 ','112','OR Rx urin       ',"SUTURE BLADDER LACERAT"
'5782 ','112','OR Rx urin       ',"CYSTOSTOMY CLOSURE"
'5783 ','112','OR Rx urin       ',"ENTEROVESICO FIST REPAIR"
'5784 ','112','OR Rx urin       ',"VESIC FISTULA REPAIR NEC"
'5785 ','112','OR Rx urin       ',"CYSTOURETHROPLASTY"
'5786 ','112','OR Rx urin       ',"BLADDER EXSTROPHY REPAIR"
'5787 ','112','OR Rx urin       ',"BLADDER RECONSTRUCTION"
'5788 ','112','OR Rx urin       ',"BLADDER ANASTOMOSIS NEC"
'5789 ','112','OR Rx urin       ',"BLADDER REPAIR NEC"
'5791 ','112','OR Rx urin       ',"BLADDER SPHINCTEROTOMY"
'5793 ','112','OR Rx urin       ',"CONTROL BLADD HEMORRHAGE"
'5796 ','112','OR Rx urin       ',"IMPLANT BLADDER STIMULAT"
'5797 ','112','OR Rx urin       ',"REPLACE BLADDER STIMULAT"
'5798 ','112','OR Rx urin       ',"REMOVE BLADDER STIMULAT"
'5799 ','112','OR Rx urin       ',"BLADDER OPERATION NEC"
'5900 ','112','OR Rx urin       ',"RETROPERIT DISSECT NOS"
'5901 ','112','OR Rx urin       ',"URETEROLYS FOR FIBROSIS"
'5902 ','112','OR Rx urin       ',"PERIREN ADHESIOLYS NEC"
'5903 ','112','OR Rx urin       ',"LAPAROSC LYSIS VESC ADH (Begin 1996)"
'5909 ','112','OR Rx urin       ',"PERIREN/URETER INCIS NEC"
'5911 ','112','OR Rx urin       ',"PERIVESICAL ADHESIOLYSIS"
'5912 ','112','OR Rx urin       ',"OTH LYSUS VESICAL ADH (Begin 1996)"
'5919 ','112','OR Rx urin       ',"PERIVESICAL INCISION NEC"
'5991 ','112','OR Rx urin       ',"PERIREN/VESICLE EXCISION"
'5992 ','112','OR Rx urin       ',"PERIREN/VESICLE OP NEC"
'602  ','113','TURP             ',"TRANSURETHRAL PROSTATECT (End 1995)"
'6021 ','113','TURP             ',"TRANSUR ULTRAS LASER PROST (Begin 1995)"
'6029 ','113','TURP             ',"OTHER TURP (Begin 1995)"
'6096 ','113','TURP             ',"TRANSUR MICROWAVE THERMO PROSTATECT (Begin 2000)"
'6097 ','113','TURP             ',"TRANSUR OTHER THERMO PROSTATECT (Begin 2000)"
'603  ','114','Opn prostect     ',"SUPRAPUBIC PROSTATECTOMY"
'604  ','114','Opn prostect     ',"RETROPUBIC PROSTATECTOMY"
'605  ','114','Opn prostect     ',"RADICAL PROSTATECTOMY"
'6061 ','114','Opn prostect     ',"LOS EXCIS PROSTATIC LES"
'6062 ','114','Opn prostect     ',"PERINEAL PROSTATECTOMY"
'6069 ','114','Opn prostect     ',"PROSTATECTOMY NEC"
'640  ','115','Circumcision     ',"CIRCUMCISION"
'6011 ','116','Dx male gen      ',"CLOSED PROSTATIC BX"
'6012 ','116','Dx male gen      ',"OPEN PROSTATIC BX"
'6013 ','116','Dx male gen      ',"CLOS SEMINAL VES BX"
'6014 ','116','Dx male gen      ',"OPEN SEMINAL VES BX"
'6015 ','116','Dx male gen      ',"PERIPROSTATIC BIOPSY"
'6018 ','116','Dx male gen      ',"PROSTATIC DX PROCED NEC"
'6019 ','116','Dx male gen      ',"SEMIN VES DX PROCED NEC"
'6111 ','116','Dx male gen      ',"SCROTUM & TUNICA BIOPSY"
'6119 ','116','Dx male gen      ',"SCROT/TUNICA DX PROC NEC"
'6211 ','116','Dx male gen      ',"CLOSED TESTICULAR BIOPSY"
'6212 ','116','Dx male gen      ',"OPEN TESTICULAR BIOPSY"
'6219 ','116','Dx male gen      ',"TESTES DX PROCEDURE NEC"
'6301 ','116','Dx male gen      ',"SPERMATIC CORD/VAS BIOPS"
'6309 ','116','Dx male gen      ',"SPERMAT CORD/VAS DX NEC"
'6411 ','116','Dx male gen      ',"PENILE BIOPSY"
'6419 ','116','Dx male gen      ',"PENILE DIAGNOST PROC NEC"
'6071 ','117','nOR male gen     ',"PERCUT SEMIN VES ASPIRAT"
'6091 ','117','nOR male gen     ',"PERCUT PROSTATIC ASPIRAT"
'6092 ','117','nOR male gen     ',"INJECTION INTO PROSTATE"
'6095 ','117','nOR male gen     ',"TRANS BAL DIL PROS URETH (Begin 1991)"
'610  ','117','nOR male gen     ',"SCROTUM & TUNICA I & D"
'613  ','117','nOR male gen     ',"SCROTAL LES DESTRUCTION"
'6141 ','117','nOR male gen     ',"SUTURE SCROTAL LACERAT"
'6191 ','117','nOR male gen     ',"PERCUT TUNICA ASPIRATION"
'6291 ','117','nOR male gen     ',"ASPIRATION OF TESTES"
'6292 ','117','nOR male gen     ',"INJECTION INTO TESTES"
'6352 ','117','nOR male gen     ',"REDUCTION TORSION TESTES"
'636  ','117','nOR male gen     ',"VASOTOMY"
'6370 ','117','nOR male gen     ',"MALE STERILIZATION NOS"
'6371 ','117','nOR male gen     ',"LIGATION OF VAS DEFERENS"
'6372 ','117','nOR male gen     ',"SPERMATIC CORD LIGATION"
'6373 ','117','nOR male gen     ',"VASECTOMY"
'6384 ','117','nOR male gen     ',"REMOVAL VAS LIGATURE"
'6391 ','117','nOR male gen     ',"SPERMATOCELE ASPIRATION"
'6491 ','117','nOR male gen     ',"DORSAL/LAT SLIT PREPUCE"
'6494 ','117','nOR male gen     ',"FIT EXT PENILE PROSTHES"
'9994 ','117','nOR male gen     ',"PROSTATIC MASSAGE"
'9995 ','117','nOR male gen     ',"STRETCHING OF FORESKIN"
'9996 ','117','nOR male gen     ',"SPERM COLLECTION"
'600  ','118','OR male gen      ',"INCISION OF PROSTATE"
'6072 ','118','OR male gen      ',"SEMINAL VESICLE INCISION"
'6073 ','118','OR male gen      ',"SEMINAL VESICLE EXCISION"
'6079 ','118','OR male gen      ',"SEMINAL VESICLE OP NEC"
'6081 ','118','OR male gen      ',"PERIPROSTATIC INCISION"
'6082 ','118','OR male gen      ',"PERIPROSTATIC EXCISION"
'6093 ','118','OR male gen      ',"REPAIR OF PROSTATE"
'6094 ','118','OR male gen      ',"CONTROL POSTOP PROST HEM"
'6099 ','118','OR male gen      ',"PROSTATIC OPERATION NEC"
'612  ','118','OR male gen      ',"EXCISION OF HYDROCELE"
'6142 ','118','OR male gen      ',"SCROTAL FISTULA REPAIR"
'6149 ','118','OR male gen      ',"SCROTUM/TUNIC REPAIR NEC"
'6192 ','118','OR male gen      ',"EXCISION TUNICA LES NEC"
'6199 ','118','OR male gen      ',"SCROTUM & TUNICA OP NEC"
'620  ','118','OR male gen      ',"INCISION OF TESTES"
'622  ','118','OR male gen      ',"TESTICULAR LES DESTRUCT"
'623  ','118','OR male gen      ',"UNILATERAL ORCHIECTOMY"
'6241 ','118','OR male gen      ',"REMOVE BOTH TESTES"
'6242 ','118','OR male gen      ',"REMOVE SOLITARY TESTIS"
'625  ','118','OR male gen      ',"ORCHIOPEXY"
'6261 ','118','OR male gen      ',"SUTURE TESTICULAR LACER"
'6269 ','118','OR male gen      ',"TESTICULAR REPAIR NEC"
'627  ','118','OR male gen      ',"INSERT TESTICULAR PROSTH"
'6299 ','118','OR male gen      ',"TESTICULAR OPERATION NEC"
'631  ','118','OR male gen      ',"EXC SPERMATIC VARICOCELE"
'632  ','118','OR male gen      ',"EXCISE EPIDIDYMIS CYST"
'633  ','118','OR male gen      ',"EXCISE CORD/EPID LES NEC"
'634  ','118','OR male gen      ',"EPIDIDYMECTOMY"
'6351 ','118','OR male gen      ',"SUTURE CORD & EPID LACER"
'6353 ','118','OR male gen      ',"TRANSPLANT SPERMAT CORD"
'6359 ','118','OR male gen      ',"CORD & EPIDID REPAIR NEC"
'6381 ','118','OR male gen      ',"SUTURE VAS & EPIDID LAC"
'6382 ','118','OR male gen      ',"POSTOP VAS RECONSTRUCT"
'6383 ','118','OR male gen      ',"EPIDIDYMOVASOSTOMY"
'6385 ','118','OR male gen      ',"REMOV VAS DEFERENS VALVE"
'6389 ','118','OR male gen      ',"VAS & EPIDIDY REPAIR NEC"
'6392 ','118','OR male gen      ',"EPIDIDYMOTOMY"
'6393 ','118','OR male gen      ',"SPERMATIC CORD INCISION"
'6394 ','118','OR male gen      ',"SPERM CORD ADHESIOLYSIS"
'6395 ','118','OR male gen      ',"INSERT VALVE IN VAS DEF"
'6399 ','118','OR male gen      ',"CORD/EPID/VAS OPS NEC"
'642  ','118','OR male gen      ',"LOCAL EXCIS PENILE LES"
'643  ','118','OR male gen      ',"AMPUTATION OF PENIS"
'6441 ','118','OR male gen      ',"SUTURE PENILE LACERATION"
'6442 ','118','OR male gen      ',"RELEASE OF CHORDEE"
'6443 ','118','OR male gen      ',"CONSTRUCTION OF PENIS"
'6444 ','118','OR male gen      ',"RECONSTRUCTION OF PENIS"
'6445 ','118','OR male gen      ',"REPLANTATION OF PENIS"
'6449 ','118','OR male gen      ',"PENILE REPAIR NEC"
'645  ','118','OR male gen      ',"SEX TRANSFORMAT OP NEC"
'6492 ','118','OR male gen      ',"INCISION OF PENIS"
'6493 ','118','OR male gen      ',"DIVISION OF PENILE ADHES"
'6495 ','118','OR male gen      ',"INS NONINFL PENIS PROSTH"
'6496 ','118','OR male gen      ',"REMOVE INT PENILE PROSTH"
'6497 ','118','OR male gen      ',"INS INFLATE PENIS PROSTH (Begin 1986)"
'6498 ','118','OR male gen      ',"PENILE OPERATION NEC"
'6499 ','118','OR male gen      ',"MALE GENITAL OP NEC"
'653  ','119','Oophorectomy     ',"UNILATERAL OOPHORECTOMY (End 1996)"
'6531 ','119','Oophorectomy     ',"LAPARSC OOPHECTOMY UNI (Begin 1996)"
'6539 ','119','Oophorectomy     ',"OTH LAPARSC OOPHECT UNI (Begin 1996)"
'654  ','119','Oophorectomy     ',"UNILAT SALPINGO-OOPHOREC (End 1996)"
'6541 ','119','Oophorectomy     ',"LAPAR SALP OOPH UNI (Begin 1996)"
'6549 ','119','Oophorectomy     ',"OTH SALP OOPH UNI (Begin 1996)"
'6551 ','119','Oophorectomy     ',"REMOVE BOTH OVARIES"
'6552 ','119','Oophorectomy     ',"REMOVE SOLITARY OVARY"
'6553 ','119','Oophorectomy     ',"LAPAR BIL OOPH (Begin 1996)"
'6554 ','119','Oophorectomy     ',"LAPAR REMOV REMAIN OV (Begin 1996)"
'6561 ','119','Oophorectomy     ',"REMOVE BOTH TUBES & OVAR"
'6562 ','119','Oophorectomy     ',"REMOVE SOLITARY TUBE/OVA"
'6563 ','119','Oophorectomy     ',"LAPAR REMOV SALP OV BIL (Begin 1996)"
'6564 ','119','Oophorectomy     ',"LAPAR REMV SALP OV REM (Begin 1996)"
'650  ','120','Ot prc ovary     ',"OOPHOROTOMY (End 1996)"
'6501 ','120','Ot prc ovary     ',"LAPAROSC OOPHOROTOMY (Begin 1996)"
'6509 ','120','Ot prc ovary     ',"OTHER OOPHOROTOMY (Begin 1996)"
'6521 ','120','Ot prc ovary     ',"OVARIAN CYST MARSUPIALIZ"
'6522 ','120','Ot prc ovary     ',"OVARIAN WEDGE RESECTION"
'6523 ','120','Ot prc ovary     ',"LAPAR MARSUP OVARY (Begin 1996)"
'6524 ','120','Ot prc ovary     ',"LAPAR WEDGE RESCT OV (Begin 1996)"
'6525 ','120','Ot prc ovary     ',"OTH LAPAR EXCIS OV (Begin 1996)"
'6529 ','120','Ot prc ovary     ',"LOCAL DESTR OVA LES NEC"
'6571 ','120','Ot prc ovary     ',"SIMPLE SUTURE OF OVARY"
'6572 ','120','Ot prc ovary     ',"OVARIAN REIMPLANTATION"
'6573 ','120','Ot prc ovary     ',"SALPINGO-OOPHOROPLASTY"
'6574 ','120','Ot prc ovary     ',"LAPAR SUTURE OV (Begin 1996)"
'6575 ','120','Ot prc ovary     ',"LAPAR REIMPLANT OV (Begin 1996)"
'6576 ','120','Ot prc ovary     ',"LAPAR SALP-OOPHPLASTY (Begin 1996)"
'6579 ','120','Ot prc ovary     ',"REPAIR OF OVARY NEC"
'658  ','120','Ot prc ovary     ',"TUBO-OVARIAN ADHESIOLYS (End 1996)"
'6581 ','120','Ot prc ovary     ',"LAPAR LYSIS ADHES OV (Begin 1996)"
'6589 ','120','Ot prc ovary     ',"OTH LYSIS ADHES OV (Begin 1996)"
'6591 ','120','Ot prc ovary     ',"ASPIRATION OF OVARY"
'6592 ','120','Ot prc ovary     ',"TRANSPLANTATION OF OVARY"
'6593 ','120','Ot prc ovary     ',"MANUAL RUPT OVARIAN CYST"
'6594 ','120','Ot prc ovary     ',"OVARIAN DENERVATION"
'6595 ','120','Ot prc ovary     ',"OVARIAN TORSION RELEASE"
'6599 ','120','Ot prc ovary     ',"OVARIAN OPERATION NEC"
'6621 ','121','Ligat fallop     ',"BILAT ENDOSC CRUSH TUBE"
'6622 ','121','Ligat fallop     ',"BILAT ENDOSC DIVIS TUBE"
'6629 ','121','Ligat fallop     ',"BILAT ENDOS OCC TUBE NEC"
'6631 ','121','Ligat fallop     ',"BILAT TUBAL CRUSHING NEC"
'6632 ','121','Ligat fallop     ',"BILAT TUBAL DIVISION NEC"
'6639 ','121','Ligat fallop     ',"BILAT TUBAL DESTRUCT NEC"
'6662 ','122','Rem ectp prg     ',"REMOV TUBE & ECTOP PREG"
'6911 ','122','Rem ectp prg     ',"REMOVE INTRALIG ECT PREG (End 1992)"
'743  ','122','Rem ectp prg     ',"REMOV INTRAPERIT FETUS (Begin 1992)"
'664  ','123','Ot prs fallo     ',"TOTAL UNILAT SALPINGECT"
'6651 ','123','Ot prs fallo     ',"REMOVE BOTH FALLOP TUBES"
'6652 ','123','Ot prs fallo     ',"REMOVE SOLITARY FAL TUBE"
'6661 ','123','Ot prs fallo     ',"DESTROY FALLOP TUBE LES"
'6663 ','123','Ot prs fallo     ',"BILAT PART SALPINGEC NOS"
'6669 ','123','Ot prs fallo     ',"PARTIAL SALPINGECTOM NEC"
'6671 ','123','Ot prs fallo     ',"SIMPL SUTURE FALLOP TUBE"
'6672 ','123','Ot prs fallo     ',"SALPINGO-OOPHOROSTOMY"
'6673 ','123','Ot prs fallo     ',"SALPINGO-SALPINGOSTOMY"
'6674 ','123','Ot prs fallo     ',"SALPINGO-UTEROSTOMY"
'6679 ','123','Ot prs fallo     ',"FALLOP TUBE REPAIR NEC"
'668  ','123','Ot prs fallo     ',"FALLOPIAN TUBE INSUFFLAT"
